months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,policy_bind_date_year,policy_bind_date_month,policy_bind_date_day,incident_date_year,incident_date_month,incident_date_day,policy_to_incident_days,combined_text,fraud_reported
224,42,662088,OH,500/1000,500,1212.75,0,455913,FEMALE,College,own-child,0,-51400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,11,1,NO,0,0,YES,55200,9200,13800,32200,1998,2005,3,6,2015,1,27,3614,kayaking 6331 mlk ave springfield honda civic,0
404,56,485813,IN,250/500,1000,1361.16,4000000,437944,FEMALE,Masters,not-in-family,0,-63700,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,23,1,NO,2,0,YES,53100,5310,5310,42480,2005,2010,4,7,2015,1,15,1744,2798 1st ave hillsdale accura mdx,1
292,42,396002,IN,250/500,1000,1588.22,0,605369,MALE,JD,other-relative,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,15,3,YES,1,1,NO,84600,16920,8460,59220,2007,2007,3,4,2015,1,15,2874,camping 7488 lincoln lane riverwood chevrolet malibu,0
163,36,974522,IN,250/500,1000,1503.21,0,448190,MALE,MD,husband,55700,-49900,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,WV,1,1,YES,2,1,NO,51390,5710,11420,34260,2013,2000,1,27,2015,2,28,5511,4475 lincoln ridge springfield toyota corolla,0
154,36,979285,IL,250/500,2000,1313.51,7000000,600904,FEMALE,Masters,own-child,68500,0,Vehicle Theft,Rear Collision,Trivial Damage,,SC,9,1,NO,2,0,NO,2800,280,280,2240,2015,2003,12,17,2015,2,3,4066,dancing 8864 tree ridge northbrook volkswagen passat,0
256,39,104594,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,19,3,NO,0,2,NO,64100,6410,6410,51280,2003,2006,10,12,2015,1,2,3004,8973 washington st arlington saab 95,1
297,48,264221,IL,500/1000,1000,1243.68,0,463331,MALE,Masters,wife,0,-71400,Multi-vehicle Collision,Front Collision,Major Damage,Other,NY,18,3,NO,0,2,NO,54960,6870,0,48090,2002,2014,7,28,2015,2,20,207,camping 9177 texas ave springfield toyota corolla,1
210,41,395269,IL,500/1000,500,1222.75,0,432781,MALE,High School,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,12,3,NO,2,0,NO,81070,14740,14740,51590,2001,2012,11,2,2015,1,30,819,polo 1454 5th ridge columbus bmw x5,0
169,39,865201,OH,100/300,2000,1140.15,0,608929,MALE,High School,husband,0,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,VA,9,3,YES,0,3,NO,46200,4200,8400,33600,2015,2001,10,19,2015,1,19,4840,exercise 2003 2nd hwy riverwood suburu legacy,0
356,54,913337,OH,500/1000,500,912.3,0,461383,MALE,College,wife,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,23,3,NO,2,1,NO,68750,12500,12500,43750,2007,2008,2,10,2015,1,10,2526,yachting 9214 elm ridge northbend audi a5,1
111,29,235869,IL,250/500,500,1239.55,2000000,464736,FEMALE,PhD,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,1,1,NO,1,1,YES,52800,4800,9600,38400,1996,2011,1,22,2015,1,9,1448,kayaking 2230 1st st riverwood mercedes ml350,1
87,31,853360,IN,500/1000,1000,1074.07,0,451312,FEMALE,Masters,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,16,3,NO,0,3,YES,60940,5540,11080,44320,2006,2009,6,26,2015,1,27,2041,sale chess 3052 weaver ridge springfield nissan ultima,1
233,39,728839,OH,500/1000,2000,1524.18,0,605220,MALE,JD,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,20,3,NO,1,0,YES,48870,5430,5430,38010,1999,2001,1,2,2015,1,8,5119,reading 9148 4th hwy northbrook saab 95,0
449,57,293794,OH,250/500,2000,1440.68,0,442395,MALE,Associate,own-child,25000,0,Parked Car,Rear Collision,Minor Damage,,SC,8,1,YES,0,1,YES,5390,980,980,3430,2008,1999,4,17,2015,2,9,5777,movie 1845 best st riverwood volkswagen passat,0
394,57,395572,IL,250/500,500,1401.2,0,619892,FEMALE,High School,own-child,51500,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,NC,9,1,NO,1,0,NO,6890,1060,1060,4770,1999,1999,3,30,2015,1,25,5780,movie 6493 lincoln lane hillsdale audi a5,0
124,32,140977,IN,100/300,1000,1310.71,0,469875,FEMALE,Masters,wife,29300,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NY,23,1,YES,0,1,NO,57700,5770,5770,46160,2003,2006,8,18,2015,2,25,3113,kayaking 9418 5th hwy columbus toyota camry,0
308,47,720356,OH,100/300,1000,1013.61,6000000,452349,FEMALE,Associate,own-child,45700,-41400,Parked Car,Rear Collision,Minor Damage,,NY,7,1,NO,1,1,YES,5590,860,860,3870,2002,2013,9,16,2015,1,3,474,movie 4369 maple lane springfield suburu impreza,0
110,27,284834,OH,500/1000,1000,1664.66,0,465921,FEMALE,Associate,own-child,0,-66200,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,3,1,NO,0,3,NO,57500,5750,5750,46000,2010,2009,8,3,2015,2,5,2012,golf 8602 washington ridge springfield audi a3,0
245,41,267885,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,4,1,YES,0,1,YES,73500,7350,14700,51450,1999,2013,8,26,2015,1,28,520,basketball 7705 best ridge springfield jeep wrangler,0
300,49,795847,IL,100/300,1000,1441.21,0,609322,FEMALE,PhD,wife,0,0,Vehicle Theft,Rear Collision,Trivial Damage,,SC,3,1,NO,1,0,NO,7080,1180,1180,4720,2001,1995,12,17,2015,1,4,6958,kayaking 1992 britain drive columbus nissan maximum,0
77,26,357394,IL,250/500,2000,785.82,0,620207,MALE,JD,other-relative,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,12,3,YES,2,0,NO,69080,12560,6280,50240,2009,2008,5,9,2015,1,7,2434,movie 9082 3rd lane hillsdale audi a5,1
242,41,512894,OH,250/500,2000,1153.54,6000000,619657,MALE,Masters,unmarried,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,3,3,NO,0,1,NO,68090,12380,12380,43330,2009,1990,10,2,2015,2,12,8899,polo 6853 sky hwy northbrook toyota corolla,0
389,53,714738,IL,500/1000,2000,791.47,0,477260,MALE,Masters,unmarried,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,NC,6,1,NO,1,2,NO,6300,630,1260,4410,2001,1998,3,21,2015,1,1,6130,chess 1617 rock drive riverwood mercedes c300,1
255,39,143109,OH,250/500,500,1453.95,0,470389,FEMALE,PhD,not-in-family,38200,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,17,3,YES,0,3,NO,29300,2930,5860,20510,2010,2001,7,9,2015,1,7,4930,3443 maple ridge springfield audi a3,0
4,39,498759,IL,100/300,1000,1326.98,6000000,450368,FEMALE,High School,unmarried,64200,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,14,3,YES,1,3,NO,54120,4510,9020,40590,2007,1996,9,5,2015,1,13,6704,reading 2603 andromedia hwy northbend jeep grand cherokee,0
142,29,890280,OH,100/300,2000,1307.68,0,606942,FEMALE,MD,husband,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,10,1,YES,1,2,NO,54360,4530,9060,40770,1995,2010,1,24,2015,1,29,1831,dancing 1725 solo lane columbus mercedes e400,1
475,61,607974,IL,500/1000,500,1265.72,0,612506,FEMALE,Masters,wife,0,-59500,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,23,1,YES,0,2,NO,64350,9900,9900,44550,1998,2004,8,12,2015,2,18,3842,paintball 7797 tree ridge columbus mercedes e400,0
239,42,246882,IL,100/300,1000,969.5,0,464839,MALE,College,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,,NC,10,1,NO,0,0,NO,5600,700,700,4200,2007,1999,9,20,2015,1,26,5607,reading 2430 mlk ave northbrook audi a3,0
270,41,639027,IL,250/500,1000,817.28,0,460263,MALE,High School,unmarried,62200,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,17,3,NO,1,1,NO,60190,4630,9260,46300,2014,1994,6,21,2015,1,3,7501,sale  4095 mlk st columbus mercedes ml350,1
69,26,593390,IL,100/300,2000,924.72,0,437688,FEMALE,High School,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,14,1,NO,2,2,NO,63120,5260,10520,47340,2008,2006,3,24,2015,1,7,3211,6104 oak ave columbus audi a5,0
206,39,965768,IN,250/500,1000,1302.4,6000000,603948,MALE,JD,unmarried,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,12,3,NO,2,3,YES,36300,3300,9900,23100,2013,2014,7,27,2015,2,17,205,dancing 1598 3rd drive hillsdale ford escape,0
254,40,463513,IL,250/500,500,1390.89,5000000,453719,MALE,College,wife,0,-74400,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,23,1,NO,2,2,NO,53460,9720,4860,38880,2009,1995,4,23,2015,2,28,7251,6467 best ave riverwood volkswagen jetta,0
289,49,933293,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,unmarried,0,0,Parked Car,Rear Collision,Minor Damage,,WV,16,1,NO,1,1,YES,5330,1230,820,3280,2001,1993,2,3,2015,1,18,8019,golf 6676 tree lane arlington suburu legacy,0
228,42,342868,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,8,1,NO,0,0,NO,5070,780,780,3510,2007,2006,6,27,2015,1,21,3130,reading 6608 mlk hwy riverwood mercedes e400,1
149,34,374545,IN,250/500,500,664.86,0,608963,FEMALE,PhD,wife,0,-60000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,3,1,NO,0,1,NO,105040,16160,16160,72720,1999,2005,8,28,2015,2,4,3447,skydiving 5226 maple st columbus dodge ram,0
143,34,847123,IL,100/300,500,1442.27,0,435100,MALE,College,wife,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,10,1,NO,2,3,YES,58500,11700,5850,40950,1999,2014,3,19,2015,2,17,335,exercise 9728 britain hwy columbus dodge ram,0
269,41,334749,OH,100/300,2000,1422.21,0,620507,FEMALE,Associate,unmarried,0,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,21,1,YES,2,1,NO,85900,17180,17180,51540,2005,1996,7,29,2015,1,16,6745,polo 5022 1st st riverwood suburu forrestor,1
274,44,771509,IN,500/1000,500,1395.58,0,466612,FEMALE,JD,husband,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,WV,7,1,NO,2,1,NO,5590,860,860,3870,2000,2006,8,10,2015,2,5,3101,reading 4279 solo drive springfield bmw x5,0
46,41,315041,OH,100/300,2000,998.19,0,611556,FEMALE,MD,husband,43700,-66300,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,23,3,NO,1,3,NO,78600,13100,19650,45850,2004,2010,11,2,2015,1,23,1543,5779 2nd lane hillsdale dodge ram,1
151,37,931625,IN,250/500,500,1366.42,0,476198,FEMALE,Associate,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,14,3,NO,1,2,YES,59100,5910,5910,47280,1998,2012,10,18,2015,2,15,850,6719 flute st arlington nissan maximum,1
152,33,107181,IN,250/500,500,942.51,0,478981,FEMALE,PhD,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,16,1,YES,0,0,NO,70400,6400,19200,44800,2001,1999,11,14,2015,1,30,5556,exercise 3903 oak ave hillsdale suburu legacy,1
431,54,419510,OH,100/300,1000,1372.27,0,436547,FEMALE,Masters,own-child,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,13,3,NO,2,3,NO,63240,10540,10540,42160,1997,1994,11,11,2015,1,8,7363,paintball 1388 embaracadero hwy columbus suburu forrestor,0
108,31,492224,IN,500/1000,2000,1175.7,0,608767,MALE,Masters,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,14,1,NO,0,2,NO,57330,6370,6370,44590,2006,2005,12,9,2015,2,19,3359,yachting 5585 washington drive columbus dodge neon,0
239,38,485642,OH,250/500,1000,1276.73,5000000,610246,FEMALE,Masters,other-relative,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,12,3,NO,1,3,NO,61920,6880,6880,48160,2003,1990,8,25,2015,2,19,8944,4175 elm ridge northbrook saab 93,0
165,36,427199,IL,250/500,2000,1247.87,0,464336,MALE,Masters,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,20,3,NO,2,2,NO,45700,4570,4570,36560,2008,2010,10,1,2015,1,14,1566,golf 2469 francis lane northbend bmw 3 series,0
43,38,149467,OH,500/1000,1000,1601.47,0,465764,MALE,PhD,other-relative,64400,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,SC,1,3,YES,2,2,NO,61650,6850,6850,47950,2006,2014,3,11,2015,2,15,341,skydiving 2903 weaver drive columbus nissan ultima,0
190,40,390381,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,other-relative,36900,-53700,Parked Car,Rear Collision,Trivial Damage,,SC,10,1,NO,2,1,YES,6300,630,630,5040,2001,2007,1,27,2015,2,2,2928,camping 8404 embaracadero st hillsdale nissan ultima,0
103,33,361829,OH,500/1000,2000,1021.14,0,618418,FEMALE,Masters,wife,69500,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,1,3,NO,2,3,NO,79090,14380,14380,50330,2014,1994,9,17,2015,1,19,7429,paintball 4176 britain hwy northbend dodge ram,0
143,30,250249,IN,100/300,500,1392.39,5000000,436499,FEMALE,High School,unmarried,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,16,1,NO,2,0,YES,54300,10860,5430,38010,2010,1991,11,28,2015,1,12,8446,dancing 3323 1st lane riverwood toyota highlander,0
160,37,921202,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,19,1,YES,1,0,NO,72930,6630,13260,53040,2015,2014,12,28,2015,1,19,22,yachting 3842 solo ridge northbrook accura tl,0
86,28,613226,IN,100/300,2000,1595.07,0,439304,MALE,PhD,unmarried,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,19,1,YES,0,2,YES,70920,11820,11820,47280,2002,1991,8,22,2015,2,23,8586,hiking 6945 texas hwy hillsdale jeep wrangler,0
101,32,223404,IL,250/500,500,895.14,0,439964,MALE,JD,other-relative,52600,-30400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,4,1,NO,0,3,YES,43600,8720,4360,30520,2010,2002,1,23,2015,1,10,4735,sale  2352 mlk drive columbus suburu legacy,0
339,49,840806,IN,500/1000,2000,1570.77,0,441142,MALE,JD,not-in-family,98800,-65300,Vehicle Theft,Rear Collision,Minor Damage,,SC,13,1,NO,0,3,NO,6820,1240,620,4960,2009,1994,2,14,2015,1,18,7643,paintball 2193 4th ridge columbus mercedes ml350,0
270,45,166264,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,18,3,NO,1,1,YES,89400,14900,7450,67050,1998,2010,1,12,2015,1,14,1828,golf 2078 3rd ave springfield suburu legacy,0
56,29,302669,IL,100/300,1000,1523.17,0,610479,MALE,Masters,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,10,3,NO,1,2,YES,94560,7880,15760,70920,1995,2006,6,29,2015,2,21,3159,movie 2494 andromedia drive northbend jeep grand cherokee,0
9,24,326180,IL,100/300,2000,1304.46,0,473349,FEMALE,PhD,other-relative,51700,-33300,Vehicle Theft,Rear Collision,Trivial Damage,,NC,6,1,NO,0,3,YES,5940,540,1080,4320,2001,2002,5,25,2015,1,31,4634,golf 6939 3rd hwy arlington audi a5,1
289,45,943425,OH,250/500,2000,1221.41,0,466289,FEMALE,Masters,wife,46700,-72500,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,9,1,NO,2,1,NO,2700,300,300,2100,2006,1999,10,28,2015,2,27,5601,movie 8742 4th st riverwood honda accord,0
117,28,336047,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,13,2,YES,0,1,NO,55440,5040,10080,40320,2009,2003,4,21,2015,2,5,4308,yachting 4058 tree drive springfield suburu forrestor,1
369,55,577810,OH,250/500,2000,1589.54,0,444734,MALE,College,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,6,3,NO,2,0,YES,85300,17060,8530,59710,2003,2013,4,15,2015,1,27,652,camping 9373 pine hwy arlington toyota highlander,0
458,62,533940,IL,500/1000,2000,1356.92,5000000,441714,MALE,Associate,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,2,1,NO,0,1,YES,46980,5220,5220,36540,1998,2011,11,18,2015,2,26,1196,6128 elm lane arlington audi a5,0
285,41,186934,IL,100/300,1000,1436.79,0,608177,FEMALE,PhD,wife,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,23,1,YES,2,3,NO,108480,18080,18080,72320,2015,2014,1,5,2015,1,24,384,sleeping 3092 texas drive northbend volkswagen passat,0
211,38,752504,IN,250/500,1000,1055.09,0,433250,FEMALE,Masters,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,12,1,NO,0,3,YES,91520,8320,16640,66560,2005,1997,5,15,2015,1,27,6466,3061 francis hwy columbus bmw x6,1
178,39,305758,IL,100/300,500,1035.99,0,465252,FEMALE,JD,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,3,3,NO,2,0,NO,64680,11760,11760,41160,2010,2009,3,8,2015,1,17,2141,sleeping 6137 mlk st springfield jeep wrangler,0
230,41,736771,IN,100/300,1000,1464.03,0,444797,MALE,JD,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,19,3,NO,2,0,NO,53040,4420,4420,44200,2006,1991,12,14,2015,2,8,8457,sleeping 1914 francis st springfield audi a3,0
76,24,700074,OH,250/500,1000,1622.67,0,600313,FEMALE,MD,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,6,3,NO,1,1,NO,74700,14940,7470,52290,1997,2011,6,6,2015,2,18,1353,paintball 6256 elm st riverwood suburu forrestor,0
19,32,882920,OH,500/1000,1000,1215.85,0,454985,MALE,High School,husband,42900,-90200,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,8,1,YES,1,1,YES,7040,1280,640,5120,2015,2006,1,1,2015,1,2,3288,hiking 6165 rock ridge hillsdale nissan maximum,0
153,34,798177,IL,500/1000,1000,873.64,4000000,432934,FEMALE,Associate,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,9,3,NO,2,1,NO,68400,11400,11400,45600,2007,2006,3,4,2015,1,30,3254,yachting 9489 3rd st columbus ford f150,0
138,33,296960,IL,250/500,500,1362.87,5000000,445904,FEMALE,JD,own-child,56900,-56900,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,6,1,NO,2,0,NO,95810,14740,14740,66330,2007,1997,1,18,2015,2,24,6611,paintball 6889 cherokee st springfield bmw x5,0
429,56,804410,OH,250/500,1000,1127.89,6000000,460722,MALE,Associate,own-child,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,0,1,YES,2,0,YES,39480,6580,6580,26320,2002,1998,12,12,2015,1,28,5891,skydiving 5639 1st ridge springfield suburu forrestor,0
7,21,204294,IN,500/1000,1000,1342.72,0,445638,MALE,Associate,wife,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,21,1,NO,1,2,NO,62460,6940,6940,48580,2003,1991,11,16,2015,2,10,8487,camping 2654 elm drive hillsdale honda accord,0
218,43,737483,IL,250/500,500,1521.55,0,477856,FEMALE,Associate,other-relative,61100,-64500,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,18,1,NO,1,3,YES,68200,13640,6820,47740,2003,1996,2,14,2015,1,2,6897,polo 3847 elm hwy hillsdale dodge ram,1
175,36,155604,OH,500/1000,500,1185.44,0,437580,MALE,Masters,not-in-family,44900,-52500,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,15,3,YES,2,1,YES,42680,3880,7760,31040,2006,1992,3,3,2015,1,30,8368,kayaking 4477 5th ave northbend accura rsx,1
151,37,898573,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,0,1,YES,1,1,NO,38830,3530,3530,31770,1999,1992,8,7,2015,2,8,8220,dancing 6429 4th hwy northbrook suburu legacy,0
6,27,463727,OH,250/500,500,1075.71,0,604328,FEMALE,High School,unmarried,0,-47400,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,7,1,NO,0,1,YES,3190,580,290,2320,2015,1992,8,5,2015,2,17,8231,dancing 7615 weaver drive columbus saab 95,0
179,32,931901,OH,100/300,1000,1433.42,6000000,608328,FEMALE,Associate,own-child,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,4,1,YES,1,2,NO,54200,5420,10840,37940,2014,1994,8,7,2015,1,22,7473,7897 lincoln st arlington nissan ultima,1
224,40,914088,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,21,1,NO,1,0,YES,69840,7760,15520,46560,2009,1990,2,8,2015,1,8,9100,sale kayaking 3220 rock drive northbend dodge neon,0
210,37,218684,IN,500/1000,2000,1048.46,0,466676,MALE,High School,not-in-family,59900,0,Vehicle Theft,Rear Collision,Trivial Damage,,OH,9,1,NO,1,2,NO,7080,1180,590,5310,1999,2006,8,5,2015,1,5,3075,skydiving 3878 tree lane columbus dodge ram,0
435,60,593466,OH,500/1000,500,1064.49,5000000,462804,MALE,Associate,other-relative,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,23,1,NO,2,1,NO,62880,5240,10480,47160,2007,2006,11,21,2015,2,13,3006,chess 4492 andromedia ave arlington mercedes e400,1
61,23,127754,IL,250/500,2000,1136.83,4000000,471300,FEMALE,Associate,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,14,1,NO,0,3,NO,98340,8940,17880,71520,2004,1993,6,6,2015,2,2,7911,exercise 1331 britain hwy columbus honda accord,1
190,38,601042,OH,250/500,500,1246.03,0,442919,MALE,JD,unmarried,61900,-50000,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,14,1,YES,0,0,NO,45100,9020,4510,31570,2013,2007,9,19,2015,1,28,2688,movie 4885 oak lane riverwood nissan maximum,0
136,29,854021,OH,100/300,500,1203.24,0,600702,FEMALE,JD,other-relative,62500,-66900,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,9,1,NO,2,0,NO,6200,1240,620,4340,1999,2010,4,29,2015,2,5,1743,1562 britain st columbus honda accord,0
110,33,322613,IN,250/500,1000,1183.48,0,442389,MALE,Associate,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,19,1,NO,2,3,NO,55200,13800,9200,32200,2015,1995,4,16,2015,1,26,7225,2123 texas ave northbend saab 93,1
276,46,140880,IL,250/500,500,1448.84,0,430987,FEMALE,Masters,husband,0,-50000,Parked Car,Rear Collision,Trivial Damage,Police,SC,7,1,NO,0,1,NO,5940,660,660,4620,2015,2005,3,29,2015,2,21,3616,7783 lincoln hwy hillsdale toyota highlander,0
